,URL,Clicks,Impressions,CTR,Position
130,['https://www.uselessthingstobuy.com/product/nicolas-cage-banana-flip-flops-flip-flop-with-actor-nicolas-cage-pattern/'],2.0,896.0,0.002232142857142857,23.456473214285715
131,['https://www.uselessthingstobuy.com/product/pooping-dogs-calender-2020/'],2.0,157.0,0.012738853503184714,40.64968152866242
132,['https://www.uselessthingstobuy.com/product/star-wars-windshield-sun-shade/'],2.0,1887.0,0.0010598834128245894,24.740858505564386
133,['https://www.uselessthingstobuy.com/product/the-dog-dryer-bag-a-dog-grooming-hair-dryer-for-home/'],2.0,383.0,0.005221932114882507,72.29242819843343
134,['https://www.uselessthingstobuy.com/product/the-lunar-moon-levitating-lamp/'],2.0,527.0,0.003795066413662239,58.60721062618596
135,['https://www.uselessthingstobuy.com/product/the-original-charlie-brown-christmas-tree/'],2.0,1976.0,0.0010121457489878543,59.625
136,['https://www.uselessthingstobuy.com/product/american-flag-beer-pong-float/'],1.0,370.0,0.002702702702702703,54.035135135135135
137,['https://www.uselessthingstobuy.com/product/badass-cat-mug/'],1.0,257.0,0.0038910505836575876,53.66536964980545
138,['https://www.uselessthingstobuy.com/product/because-i-said-so-funny-mothers-day-mug/'],1.0,520.0,0.0019230769230769232,66.90384615384616
139,['https://www.uselessthingstobuy.com/product/booty-pillow/'],1.0,393.0,0.002544529262086514,37.17811704834605
140,['https://www.uselessthingstobuy.com/product/booze-balls-booze-filled-ornaments/'],1.0,538.0,0.0018587360594795538,35.87732342007435
141,['https://www.uselessthingstobuy.com/product/confetti-high-five/'],1.0,249.0,0.004016064257028112,28.096385542168676
142,['https://www.uselessthingstobuy.com/product/connected-friendship-lamps-set-of-2/'],1.0,4048.0,0.00024703557312252963,57.19244071146245
143,['https://www.uselessthingstobuy.com/product/cutout-of-danny-devito/'],1.0,321.0,0.003115264797507788,46.13395638629284
144,['https://www.uselessthingstobuy.com/product/dad-coloring-book/'],1.0,235.0,0.00425531914893617,22.82127659574468
145,['https://www.uselessthingstobuy.com/product/electric-head-massager-machine/'],1.0,1315.0,0.0007604562737642585,51.661596958174904
146,['https://www.uselessthingstobuy.com/product/finger-baby-hands/'],1.0,562.0,0.0017793594306049821,17.895017793594306
147,['https://www.uselessthingstobuy.com/product/flip-flops-with-fake-grass/'],1.0,988.0,0.0010121457489878543,54.314777327935225
148,['https://www.uselessthingstobuy.com/product/hair-clip-multi-tool-set/'],1.0,396.0,0.0025252525252525255,39.11616161616162
149,['https://www.uselessthingstobuy.com/product/hanukkah-sweater-cute-holiday-sweater-for-women/'],1.0,589.0,0.001697792869269949,62.0169779286927
150,['https://www.uselessthingstobuy.com/product/jar-of-nothing/'],1.0,983.0,0.001017293997965412,23.431332655137336
151,['https://www.uselessthingstobuy.com/product/jewish-valentines-day-plush-bear/'],1.0,528.0,0.001893939393939394,55.702651515151516
152,['https://www.uselessthingstobuy.com/product/mini-golden-poo/'],1.0,368.0,0.002717391304347826,56.03260869565217
153,['https://www.uselessthingstobuy.com/product/monarch-butterfly-dog-costume/'],1.0,388.0,0.002577319587628866,37.865979381443296
